Ein Service des Knowledge-Hubs von Monitor Versorgungsforschung. Täglich automatisiert KI-kuratiert aus PubMed und auf Deutsch übersetzt.

Aufgenommen;Autor;Publiziert am;In PubMed seit;Journal;Jahr;Titel;Fragestellung;Ergebnis;Übertragbarkeit;PMID;PubMed-Link
2026-09-22;Zakoul H et al.;Okt. 2026;20.09.2026;Pharmacoepidemiol Drug Saf;2026;Arzneimittelsicherheit kommunizieren: Was Ärzte über REMS-Programme verstehen und benötigen;Qualitative Interviews mit 50 Ärzten zu Verständnis, Nutzen und Informationspräferenzen bei Risk Evaluation and Mitigation Strategy (REMS)-Programmen für Arzneimittel mit hohem Sicherheitsrisiko.;Die meisten Ärzte waren informiert über REMS-Risiken, äußerten aber Bedenken zu nicht abgedeckten Nebenwirkungen. Ärzte wünschten mehr Informationen zu Nebenwirkungsmanagement, bessere Integration in elektronische Patientenakten (EMR), elektronische Kommunikation mit Zusammenfassungen des Nutzen-Risiko-Profils und Links zu klinischen Studien/Literatur, sowie zeitnahe Updates bei neuen Sicherheitsdaten.;"USA-Studie; Kommunikationsformat und Integrationswünsche sind systemunabhängig relevant.";42764159;https://pubmed.ncbi.nlm.nih.gov/42764159/
2026-09-22;Kang Y et al.;10.09.2026;10.09.2026;J Med Internet Res;2026;Verständlichkeit und Nutzbarkeit eines KI-Chatbots für Magenkrebs-Patientenschulung;Action-Research-Studie zur Entwicklung und Usability-Bewertung eines Health-Education-Conversational-Agent (KI-Chatbot) für Magenkrebs basierend auf RAG-Architektur und OpenMEDLab 2.0.;"44 Patienten, 13 Pflegekräfte und andere Stakeholder beteiligt. Accuracy stieg über 3 Alpha-Test-Runden von 67 % auf 82 %; RAG knowledge hit rates erreichten 100 %. Mean Chatbot Usability Score 91,9 (SD 3,6); Content Relevance Score 3,75 (SD 0,9). Drei Themes identifiziert: Perceived Usefulness, Ease of Use, Intention to Use. Potential zur Reduktion von Workload und Verstärkung der Patientenschulung erkannt.";"China; Methodik und RAG-Technologie-Ansatz übertragbar, aber Genauigkeit und Sicherheit müssen vor klinischem Einsatz weiter validiert werden.";42721321;https://pubmed.ncbi.nlm.nih.gov/42721321/
2026-09-21;Nigro M et al.;17.09.2026;18.09.2026;Ther Adv Respir Dis;2026;Künstliche Intelligenz antwortet Lungenpatienten: ChatGPT zuverlässiger als Bard und Copilot;28 Expertenärzte und 33 Patienten bewerteten Antworten von ChatGPT, Bard und Copilot auf 15 von Patienten formulierte Bronchiektasen-Fragen nach Zuverlässigkeit, Genauigkeit, Vollständigkeit und Verständlichkeit.;"ChatGPT erreichte höhere Genauigkeitswerte (Median 8,0 [7,0–9,0]) als Copilot und Bard (je 7,0 [6,0–8,0]; p < 0,001); höhere Vollständigkeit (8,0 vs. 7,0; p < 0,001); Verständlichkeit ähnlich bei ChatGPT und Bard (9,0 [8,0–10,0] vs. 9,0 [7,0–10,0]); Copilot weniger verständlich (9,0 [7,0–10,0]; p < 0,001).";"Sprach- und Modellabhängig; Befunde zu englischsprachigen KI-Modellen; Übertragung auf Deutschland erfordert Deutsche-Sprache-Tests.";42755220;https://pubmed.ncbi.nlm.nih.gov/42755220/
2026-09-21;Hori N et al.;Sept. 2026;17.09.2026;Geriatr Gerontol Int;2026;Computer- und Smartphonenutzung: Indirekter Weg zur Vermeidung von Gebrechlichkeit?;Querschnittstudie mit 423 älteren Erwachsenen (≥65 Jahre) in Japan untersucht, ob Computernutzung für Gesundheitsinformation mit Gebrechlichkeit assoziiert ist und welche Rolle Health Literacy als Mediator spielt.;"Gebrechlichkeitsprävalenz: 3,5 % (15/451); 33,8 % nutzten Computer/Smartphone (143/423). Nicht-direkter Effekt signifikant (β = 0,323, 95%-KI 0,084–0,698); Nicht-Nutzung für Gesundheitsinformation assoziiert mit Gebrechlichkeit, vermittelt durch niedrigere Health Literacy. Longitudinale Studien nötig zur Klärung zeitlicher Abfolge.";"Japan; Muster zu Technologiezugang und Gesundheitskompetenz teilweise übertragbar auf Deutschland, aber Altersgruppen und Infrastruktur unterscheiden sich.";42753144;https://pubmed.ncbi.nlm.nih.gov/42753144/
2026-09-21;Yoo SH et al.;15.09.2026;15.09.2026;BMJ Open;2026;Patientenberichtete Ergebnisse bei Shared Decision Making: Systematischer Review (Protokoll);Protokoll für systematischen Review von Shared Decision Making-Interventionsstudien, die patientenberichtete Ergebnisse (PROs) messen – Mapping und Metaanalyse von konstrukten wie Informiertheit, Verständnis von Risiken, Entscheidungskonflikt, Reue und Behandlungslast.;"Protokoll registriert (PROSPERO CRD420261413222); 7 Datenbanken werden systematisch durchsucht; randomisierte und nicht-randomisierte vergleichende Studien werden separat synthetisiert; Risk-of-Bias und Evidenzqualität werden beurteilt. Ergebnisse noch ausstehend, aber Review wird Klarheit über Effektivität von SDM-Interventionen auf für Patienten relevante Ergebnisse geben.";Internationales Protokoll, übertragbar auf deutschsprachige Literatur über Entscheidungsbeteiligung.;42744382;https://pubmed.ncbi.nlm.nih.gov/42744382/
2026-09-21;Sliwinski S et al.;10.09.2026;11.09.2026;Trials;2026;App-gestützte Prehabilitation vor großen Operationen: Senkung der Morbidität um ein Drittel?;Randomisierte Kontrolltrial mit 382 Patienten vergleicht ein 3–6-Wochen-Programm mit digitaler Rehabilitation gegen eine Informations-App allein vor Großoperationen.;Primärer Endpunkt: Reduktion der 90-Tage-Morbidität (Dindo-Clavien I–V) von 60 % auf 45 %. Sekundäre Ziele sind 1-Jahres-Überleben, Lebensqualität, Krankenhausaufenthalt, Wiederaufnahmeraten und Kostenanalyse. Studie noch nicht abgeschlossen, Phase-III-Ergebnisse ausstehend.;Deutsche Klinikmehrheit, vergleichbare Dokumentationspflichten, deutsch registriert.;42723102;https://pubmed.ncbi.nlm.nih.gov/42723102/
2026-09-21;Buse CG et al.;14.07.2026;14.07.2026;PLoS Negl Trop Dis;2026;Risikomitteilung zu Tropenkrankheiten: Was Gemeinschaften in Tansania verstehen und brauchen;"Qualitative Studie in Nord-Tansania (44 Teilnehmer in Fokusgruppen; 13 Interviews mit Fachpersonen) erfasst, wie Agropastoralistinnen und Agropastorалisten sowie Gesundheitsfachpersonen Informationen zu klimabeeinflussten Tropenkrankheiten verstehen und bewerten.";"Kernfunde: Spannungen zwischen Gemeinschaftsbedarfen und bereitgestellten Informationen; erhebliche Unterschiede in Ressourcen und Informationszugang zwischen städtischen (Arusha) und ländlichen Gebieten (Monduli); Gemeinschaften bevorzugen spezifische Formate für Risikomitteilung, die Praktiker aber nicht immer nutzen.";Teilweise übertragbar: Muster von Ungleichheit in Zugang und Verständnis gelten global, aber lokale Kontexte (Sprache, Livelihood, Klima) sind zentral.;42447149;https://pubmed.ncbi.nlm.nih.gov/42447149/
2026-09-21;Hoogestraat AT et al.;29.06.2026;03.07.2026;Stud Health Technol Inform;2026;Patienten als Partner im Datenfluss: Natursprachliche Hausplattform für ältere Menschen;Partizipativ entwickelte Webplattform mit Large Language Model ermöglicht älteren Menschen, Gesundheitsereignisse in eigenen Worten zu dokumentieren und mit Klinikenteam zu teilen.;"Prototyp wurde durch Teilnehmerfeedback iterativ verfeinert; Real-World-Nutzer-Studie läuft. Frühe Rückmeldung zeigt, dass das System das Verständnis der Kliniker für die gelebte Erfahrung zu Hause verbessert und die Brücke zwischen Klinik und Heim überbrückt.";Deutschland möglich, Sprach- und Systemabhängigkeit bleibt zu prüfen bei Regelversorgung.;42394088;https://pubmed.ncbi.nlm.nih.gov/42394088/
2026-09-20;Sarger T et al.;18.09.2026;19.09.2026;Medicine (Baltimore);2026;Kurze Fragebogenschulung verbessert Patienten-wissen zu Antikoagulation;Eine französische Studie untersuchte, ob ein 7-Item-Fragebogen zur Venenthromboembolie (7VTE-Quest), der in der Wartezimmer ausgefüllt und zur Patientenedukation in der Konsultation genutzt wurde, das Patientenwissen über Antikoagulationstherapie verbessert.;Bei 135 Patienten mit Antikoagulation ≥3 Monate verbesserte sich der Fragebogscore bei 56,5% (74/131 nach Ausschluss von 4 mit Perfectem Score) bei der zweiten Beantwortung nach durchschnittlich 211 Tagen. Größte Gewinne: 20,0% besser beim Umgang mit vergessenen Dosen, 11,1% bei NSAID-Wechselwirkungen. Allerdings zeigte sich auch Wissensverlust in allen Items (1,6–40%), besonders bei NSAID-Kontraindikation (40,0% vergaßen diese). Die Studie zeigt begrenzte, aber nachweisbare Wissenserbesserung.;"Frankreich, vergleichbares Versicherungssystem; Teach-Back-ähnliche Methode übertragbar auf deutschsprachige Antikoagulations-Praxen.";42760734;https://pubmed.ncbi.nlm.nih.gov/42760734/
2026-09-20;Caf N et al.;18.09.2026;19.09.2026;Medicine (Baltimore);2026;KI-Chatbot gibt zu Akne oft oberflächliche oder fehlerhafte Ratschläge;Eine türkische Studie ließ ChatGPT-5 25 häufig gestellte Akne-Patientenfragen beantworten und ließ Dermatologen die Qualität in vier Domänen bewerten.;Von 75 Antworten waren 49 (65,3%) angemessen. Höchste Angemessenheit bei Hautpflege (83,3%) und Ernährung (77,8%), niedrigst bei Behandlung (50,0%) und Diagnose (33,3%). Häufigste Fehler: irreführende Information und zu technische Sprache, gefolgt von fehlender Sicherheitshinweisen. Inter-Rater-Übereinstimmung war niedrig. ChatGPT kann Einführungsinformation geben, aber Diagnose- und Behandlungsleitlinien erfordern ärztliche Überwachung.;"Türkei; Befund zu Grenzen von KI bei sensiblen Diagnosen/Therapie ist sprachunabhängig, aber deutsche Ärzte-Verantwortung unterscheidet sich nicht.";42760683;https://pubmed.ncbi.nlm.nih.gov/42760683/
2026-09-20;Kuehlmeyer K et al.;18.09.2026;18.09.2026;BMC Med Ethics;2026;Elternpräferenzen bei Entscheidungen zu Lebensende von Neugeborenen: Vielfalt statt Schablone;Diese Meta-Ethnographie von 16 qualitativen Studien zu Elternperspektiven analysierte, wie Eltern ihre Rolle bei medizinischen Entscheidungen am Lebensende ihres (ungeborenen) Kindes erleben und welche Entscheidungsbeteiligung sie bevorzugen.;"Die Synthese identifizierte vier Entscheidungsmodelle basierend auf Elternerfahrung: stilles Zustimmungsmodell, Empfehlungsannahmemodell, geteiltes Deliberationsmodell und Präferenzbestimmungsmodell. Entgegen theoretischer Literatur wurde das geteilte Deliberationsmodell (Shared Decision Making) nur in zwei Studien von Eltern beschrieben. Die meisten Eltern wollten ihre Erfahrung wiederholen, unabhängig von ihrer Rolle. Schlüsselfund: Elternpräferenzen und Beteiligung variieren erheblich je Kontext; keine einzige Richtlinien-empfohlene Methode passt allen.";"Deutschland (LMU München), europäische Perinatalmedizin; zeigt Grenzen universalisierter SDM-Leitlinien bei kulturell unterschiedlichen Familienstrukturen.";42760532;https://pubmed.ncbi.nlm.nih.gov/42760532/
2026-09-20;Gu L et al.;03.09.2026;18.09.2026;Front Public Health;2026;KI-Chatbots zu diabetischer Neuropathie: ChatGPT führt, aber alle haben Sicherheitslücken;Eine chinesische Studie verglich fünf KI-Chatbots (ChatGPT, Gemini, Copilot, DeepSeek, Doubao) in Sicherheit, Genauigkeit, Leitlinienkonkordanz, Handlungsfähigkeit und Lesbarkeit bei standardisierten Patient:innenfragen zur schmerzhaften diabetischen peripheren Neuropathie.;"300 Antworten analysiert, hohe Inter-Rater-Übereinstimmung (κ = 0,87–0,88). 28 Antworten (9,3%) unsicher oder potenziell unsicher; Unsicherheitsraten 5–15%, kein signifikanter Unterschied zwischen Modellen (p = 0,347). ChatGPT höhere Genauigkeit und Leitlinienkonkordanz (alle p < 0,001), DeepSeek niedriger. Lesbarkeit unterschied sich (p < 0,001); ChatGPT und Doubao weniger komplex als DeepSeek. Fazit: Jedes System erzeugte mindestens eine Antwort mit Potenzial für unangemessenes Selbstmanagement oder verzögerte Fachberatung. KI für Allgemeinbildung, aber Medikation und Risiko-einschätzung erfordern ärztliche Prüfung.";"China; Sicherheitsbefunde zur KI-Lückenhaftigkeit übertragbar auf deutschsprachige Patienten-Chatbot-Risiken.";42757292;https://pubmed.ncbi.nlm.nih.gov/42757292/
2026-09-20;Sarcone A et al.;31.08.2026;15.09.2026;Front Public Health;2026;Kritische Evaluation von Online-Gesundheitsinformation schwach bei Studierenden;Eine italienische Querschnittsstudie mit 407 Studierenden untersuchte, wo sie Gesundheitsinformationen suchen, wie kritisch sie diese bewerten und wie das mit Wissenschaftshaltung zusammenhängt.;"75,43% nutzen Social Media als Gesundheitsinformation, aber nur 12,78% halten das für zuverlässig; 94,10% vertrauen dem Arzt. Aber nur 15,72% berichten über Fähigkeit zur kritischen Online-Inhaltsauswahl. Positive Wissenschaftshaltung bestand oft neben schwacher kritischer Evaluationskompetenz. Frauen zeigten mehr Sensibilität für ethische Dimensionen (OR = 1,61). Befund: Positive Einstellungen reichen nicht aus; spezialisierte Digital-Health-Literacy-Schulung in Curricula nötig.";"Italien; Befund zur Diskrepanz zwischen Vertrauen und kritischer Kompetenz gilt für deutschsprachige Studierende analog.";42740965;https://pubmed.ncbi.nlm.nih.gov/42740965/
2026-09-20;Alonso Martínez L et al.;27.06.2026;27.06.2026;Acta Psychol (Amst);2026;Spanische Schulskala zu psychischer Gesundheit: Adoleszenten unterstützen schwächer als Fachkräfte;Eine spanische Studie entwickelte und validierte die Spanish Mental Health Support Scale for Adolescents (MHSSA) mit 578 Personen (Schüler:innen ab 13 Jahren, zukünftige Schulgesundheitsfachkräfte) zur Messung unterstützenden Verhaltens bei psychischen Problemen.;Zwei-Faktor-Struktur (hilfreich/schädlich), Cronbachs α = 0,88, Test-Retest-Reliabilität ICC = 0,88. Baseline: Adoleszenten zeigten niedrigere Unterstützungsfähigkeiten als Fachkräfte. Nach Intervention signifikante Verbesserungen. Höhere Unterstützungsintentionen bei Frauen, nach Intervention, mit eigener Erfahrung psychischer Probleme und bei Fachkräften. Scores assoziiert mit niedrigeren Stigma-Einstellungen und höherer Mental-Health-Literacy. Schlüsselbefund: Schulisches Wissen über psychische Gesundheit ist interventionsabhängig und zeigt Chancen für Peer-Unterstützung in der Schule.;"Spanien, vergleichbares Schulsystem; Mental-Health-Literacy-Schulung in Schulen übertragbar auf Deutschland, aber kulturelle Stigma-Unterschiede beachten.";42364393;https://pubmed.ncbi.nlm.nih.gov/42364393/
2026-09-19;Alem DT et al.;18.09.2026;18.09.2026;Support Care Cancer;2026;Patientenedukation zur Therapieadhärenz bei Krebs in afrikanischen Ländern;Scoping Review zu Schulungsmaßnahmen, die Therapieadhärenz bei Krebspatienten in ressourcenlimitierten Ländern Afrikas verbessern.;11 eingeschlossene Studien zeigen: Wirksame Strategien sind technologiegestützte Bildung, direkte Vorträge, Rollenspiele und Demonstrationen in Gruppen- und Einzelsitzungen. Barrieren sind niedrige Health Literacy (53 %), finanzielle Belastung, Kulturelle Faktoren und begrenzte Gesundheitsinfrastruktur.;"Afrika mit begrenzten Ressourcen; Erkenntnisse zur Rolle von Health Literacy, Familie und interpersonalen Beziehungen sind systemübergreifend relevant.";42758338;https://pubmed.ncbi.nlm.nih.gov/42758338/
2026-09-19;Song Y et al.;03.09.2026;18.09.2026;Front Public Health;2026;Geschlechtsunterschiede in digitaler Gesundheitskompetenz von Studierenden;Querschnittsanalyse von 7.230 chinesischen Studierenden mit Fairlie-Dekomposition zur Quantifizierung der Beiträge einzelner Faktoren zu Geschlechtsdisparitäten in eHealth Literacy.;"57,2 % der Studierenden unterschreiten die eHEALS-Schwelle (≥32 Punkte). Frauen haben höhere Quote inadequater eHealth Literacy (59,07 % vs. Männer 53,44 %; p<0,001). Fairlie-Dekomposition: 45 % der Disparität attributierbar auf depressive Symptome (28,57 %), Haushaltstyp (14,29 %), Einkommen (10,71 %) und Bewegung (-3,57 %); 55 % auf unmessbare Faktoren.";"China, aber psychische Gesundheit, Socioeconomic Status und Lifestyle-Faktoren sind in Gesundheitssystemen relevant; Dekompositionsmethode systemübergreifend anwendbar.";42756360;https://pubmed.ncbi.nlm.nih.gov/42756360/
2026-09-19;Zhang S et al.;15.09.2026;18.09.2026;Ann Ital Chir;2026;Animierte Videos für Reha-Compliance nach Schulteroperationen;Randomisierte Studie vergleicht kombinierte Video-Intervention (Animation + Praxis-Demonstration + App-Anleitung) mit Standardberatung bei postoperativer Funktionsübung nach Schultergelenkspiegelung.;"Experimental-Gruppe zeigte signifikant höhere Übungs-Compliance nach 6 Wochen (90 % vs. 71,43 %), 3 Monaten (78,57 % vs. 57,14 %) und 6 Monaten (71,43 % vs. 41,43 %; alle p<0,05). Korrekte Schiene-Nutzung nach 1 Woche 75,71 % vs. 41,43 %, nach 6 Wochen 88,57 % vs. 58,57 % (beide p<0,001). Komplikationen sanken von 24,29 % auf 8,57 % (p=0,012).";"China, aber Intervention (Video + App) ist sprach- und plattformgebunden; Mechanismus der Compliance-Verbesserung durch verständliche Materialien übertragbar.";42755316;https://pubmed.ncbi.nlm.nih.gov/42755316/
2026-09-19;Hoffmann C et al.;15.09.2026;15.09.2026;BMJ Open;2026;Messung von Shared Decision Making: Core Outcome Set für einheitliche Bewertung;Studie entwickelt standardisierte Messkriterien für die Evaluation von Shared Decision Making-Interventionen durch internationale Expertengruppen und Patientenbeteiligung.;"Geplante Core Outcome Set mit Delphi-Befragung (≥150 internationale Teilnehmer) und Consensus Meetings; Abschluss September 2026. Ziel ist, Heterogenität bei der Bewertung von SDM-Interventionen zu reduzieren und vergleichbare Evaluationen zu ermöglichen.";"Großbritannien, international mit deutscher Beteiligung (Universitäten Hamburg, Schleswig-Holstein, Düsseldorf); vergleichbare Gesundheitssysteme.";42744360;https://pubmed.ncbi.nlm.nih.gov/42744360/
2026-09-19;Di Meglio A et al.;01.09.2026;14.09.2026;JAMA Netw Open;2026;Patientenzentrierte Retention in Langzeitkohorten: Befragte nennen Hürden;Mixed-Methods-Studie in der CANTO-Kohort (11.413 Brustkrebsüberlebende) mit Fragebogen und qualitativer Analyse, um Abbruchfaktoren und Retentionsstrategien zu identifizieren.;Nonresponsiveness stieg von 1,3 % (Jahr 1) auf 25,8 % (Jahr 6). Risikofaktoren: niedriges Einkommen (<1.500 € vs. ≥3.000 €: aOR 1,51), Rauchen (aOR 1,37), kleine Zentren (aOR 1,88). Befragte bevorzugten Remote-Questionnaires (94,8 %), digitale Completion (95,4 %), flexible Zeitpläne (67,4 %) und regelmäßige Feedback (71,4 %). Qualitativ: Burden-Reduction, dezentralisierte Teilnahme und Navigation als Facilitator.;"Frankreich/Europa, vergleichbare Sozialversicherung; Erkenntnisse zu Social Inequality und Partizipationshürden hochgradig systemübertragbar.";42734916;https://pubmed.ncbi.nlm.nih.gov/42734916/
